,Dates,Sentiment,Signal
0,2023-03-08,0.44,0.0
1,2023-03-09,0.56,0.0
2,2023-03-10,0.96,0.0
3,2023-03-11,0.92,0.0
4,2023-03-13,0.96,0.0
5,2023-03-14,0.7,0.0
6,2023-03-15,0.1,0.0
7,2023-03-17,0.93,0.0
8,2023-03-20,-0.0,0.0
9,2023-03-21,0.95,0.0
10,2023-03-22,0.99,0.0
11,2023-03-23,0.34,0.0
12,2023-03-24,0.93,0.0
13,2023-03-27,0.3,0.0
14,2023-03-28,0.44,0.0
15,2023-03-29,0.98,0.0
16,2023-03-30,0.66,0.0
17,2023-03-31,0.3,0.0
18,2023-04-01,1.0,0.0
19,2023-04-03,-0.12,0.0
20,2023-04-04,0.28,0.0
21,2023-04-05,0.49,0.0
22,2023-04-06,0.87,0.0
23,2023-04-07,0.49,0.0
24,2023-04-09,0.97,0.0
25,2023-04-10,0.29,0.0
26,2023-04-11,0.98,-0.9
27,2023-04-12,0.82,0.0
28,2023-04-13,0.57,0.0
29,2023-04-14,-0.17,0.0
30,2023-04-16,0.84,0.0
31,2023-04-17,0.61,0.0
32,2023-04-18,0.94,0.0
33,2023-04-19,0.14,-0.5
34,2023-04-20,0.14,-0.9
35,2023-04-21,0.29,0.0
36,2023-04-22,-0.22,0.0
37,2023-04-23,0.94,0.0
38,2023-04-24,0.7,0.0
39,2023-04-25,0.95,0.0
40,2023-04-26,0.4,0.0
41,2023-04-27,0.25,0.0
42,2023-04-28,0.97,0.0
43,2023-04-30,0.03,0.0
44,2023-05-01,0.97,-0.5
45,2023-05-02,0.72,-0.4
46,2023-05-03,0.7,0.0
47,2023-05-04,0.64,0.0
48,2023-05-05,0.53,0.0
49,2023-05-06,0.95,0.0
50,2023-05-08,-0.17,0.0
51,2023-05-09,0.24,0.0
52,2023-05-10,0.55,0.0
53,2023-05-11,0.29,0.0
54,2023-05-12,0.57,0.0
55,2023-05-13,0.89,0.0
56,2023-05-14,0.73,0.0
57,2023-05-15,0.59,0.0
58,2023-05-16,0.54,0.0
59,2023-05-17,0.49,0.0
60,2023-05-18,0.71,0.0
61,2023-05-19,0.26,0.0
62,2023-05-21,0.89,0.0
63,2023-05-22,0.99,0.0
64,2023-05-23,0.78,0.0
65,2023-05-24,0.6,0.0
66,2023-05-25,0.7,0.0
67,2023-05-26,0.38,0.0
68,2023-05-27,0.99,0.0
69,2023-05-29,0.92,0.0
70,2023-05-30,0.94,0.0
71,2023-05-31,0.74,0.0
72,2023-06-01,0.56,0.0
73,2023-06-02,0.94,0.0
74,2023-06-04,1.0,0.0
75,2023-06-05,0.89,0.0
76,2023-06-06,0.49,0.0
77,2023-06-07,0.72,0.0
78,2023-06-08,0.77,0.0
79,2023-06-09,0.79,0.0
80,2023-06-10,-0.34,0.0
81,2023-06-11,0.99,0.0
82,2023-06-12,0.72,0.0
83,2023-06-13,0.71,0.0
84,2023-06-14,0.69,0.0
85,2023-06-15,0.69,0.0
86,2023-06-16,0.72,0.0
87,2023-06-19,0.9,0.0
88,2023-06-20,0.94,0.0
89,2023-06-21,0.82,0.0
90,2023-06-22,0.8,0.0
91,2023-06-23,0.59,0.0
92,2023-06-26,0.6,0.0
93,2023-06-27,0.62,0.0
94,2023-06-28,0.52,0.0
95,2023-06-29,0.94,0.0
96,2023-06-30,0.98,0.0
97,2023-07-01,0.99,0.0
98,2023-07-02,0.96,0.0
